liaison,service,nb_circules,nb_annulation,nb_retard,nb_retard_sup_60,taux_retard,retard_moyen,taux_sup_60,taux_annulation,cause_Externe,cause_Infrastructure,cause_Gestion trafic,cause_Matériel roulant,cause_Gestion gare,cause_Voyageurs
PERPIGNAN → PARIS LYON,NATIONAL,18543,679,3224,748,17.386614895108664,49.32380476031389,4.033867227525212,3.5324107793153674,34.77366558697591,21.447577498661204,21.145775205726675,12.366300876473009,4.773818442460074,5.492862389703136
LE CREUSOT MONTCEAU MONTCHANIN → PARIS LYON,NATIONAL,20539,434,3553,245,17.298797409805736,22.58331457012909,1.1928526218413749,2.069327230248415,12.80029025819394,15.753303020148854,29.29865170763574,15.056896957383737,10.628970217770197,16.46188783886752
PARIS LYON → BELLEGARDE (AIN),NATIONAL,21351,537,3680,469,17.235726663856493,34.13682518126657,2.196618425366493,2.4533991228070176,23.577448350624223,22.484403084779895,17.30951095067613,20.513345166520498,11.950078445541482,4.165214001857772
MONTPELLIER → LYON PART DIEU,NATIONAL,19162,986,3285,464,17.143304456737294,34.75470260250981,2.4214591378770485,4.893785983720469,21.965898633904512,21.753906980430266,24.847738999407827,13.21415403127572,10.097716987909305,8.120584367072361
LILLE → LYON PART DIEU,NATIONAL,30246,1107,5184,772,17.13945645705217,36.852564699742,2.552403623619652,3.5307626064491435,16.92109721478922,16.247399629542798,18.127109426062955,27.255511458607913,12.909477585006169,8.539404685990954
TOURS → PARIS MONTPARNASSE,NATIONAL,16039,580,2743,101,17.102063719683272,17.5300461777363,0.6297150695180498,3.4899813466514233,12.632050226591673,22.72032213599332,35.968177879326284,15.488985589422876,4.236968110886962,8.953496057778871
STRASBOURG → PARIS EST,NATIONAL,50827,1277,8574,960,16.868986955751865,32.63188045700782,1.8887599110708875,2.4508674957776755,16.59902718655228,13.101015252660797,37.419432804058935,15.527431513494019,8.75797275973319,8.595120483500782
NICE VILLE → PARIS LYON,NATIONAL,21022,610,3533,880,16.80620302540196,51.01093132398332,4.186090762058796,2.819896449704142,28.618372315272595,24.5918540325834,19.96424087726896,12.258286733395595,7.712500995797296,6.854745045682158
MONTPELLIER → PARIS LYON,NATIONAL,24096,961,3972,853,16.48406374501992,46.335394199132764,3.540006640106242,3.8352556171928,30.84933058797678,24.83048985143526,19.276499510168335,14.03006991604003,5.310028401320887,5.703581733058712
PARIS NORD → DOUAI,NATIONAL,13591,575,2237,177,16.45942167610919,23.426806735292505,1.302332425870061,4.059014541860793,16.556965206438495,17.42613369858468,23.162036639250143,23.34531227068358,13.769627767970421,5.739924417072678
LAVAL → PARIS MONTPARNASSE,NATIONAL,23856,563,3922,363,16.440308517773307,25.635167588528706,1.5216297786720323,2.3055817191531185,21.390449721351786,26.578435029046375,20.359186251547268,15.623627092771319,6.715767553867304,9.33253435141594
TOULOUSE MATABIAU → PARIS MONTPARNASSE,NATIONAL,18520,558,3010,717,16.25269978401728,53.85619223744471,3.8714902807775378,2.924834888353077,32.684356506081194,30.26008066546832,10.443178785377002,11.609075544114718,7.114562783256457,7.888745715702317
ANGOULEME → PARIS MONTPARNASSE,NATIONAL,27299,965,4430,450,16.227700648375396,32.43884207135764,1.6484120297446794,3.4142371921879424,21.435625709446786,29.22097366884436,17.55897592419032,13.738655367526114,6.359442998206955,11.686326331785489
